system_id,image_id,file,first_author,year,source_journal,publisher,open_access,arxiv,bibcode,license_class,restrictive_venue,permission_status
hr-4796a,hr-4796a_aeos2009,images/hr-4796a/hr-4796a_aeos2009.png,Hinkley,2009,"ApJ 701, 804 (2009)",AAS/IOP,green-oa,0906.3010,2009ApJ...701..804H,arxiv-preprint-figure,,not-needed
hr-4796a,hr-4796a_zimpol2019,images/hr-4796a/hr-4796a_zimpol2019.png,Milli,2019,"A&A 626, A54 (2019)",EDP Sciences,hybrid,1905.03603,2019A&A...626A..54M,arxiv-preprint-figure,,not-needed
hr-4796a,hr-4796a_sphere-rdi-xie22,images/hr-4796a/hr-4796a_sphere-rdi-xie22.png,Xie,2022,"A&A 666, A32",EDP Sciences,hybrid,2208.07915,2022A&A...666A..32X,arxiv-preprint-figure,,not-needed
hr-4796a,hr-4796a_nici2014,images/hr-4796a/hr-4796a_nici2014.png,Wahhaj,2014,"A&A 567, A34 (2014)",EDP Sciences,hybrid,1404.6525,2014A&A...567A..34W,arxiv-preprint-figure,,not-needed
hr-4796a,hr-4796a_gemini-midir2010,images/hr-4796a/hr-4796a_gemini-midir2010.png,Moerchen,2010,"A&A 526, A34",EDP Sciences,hybrid,1011.1437,2011A&A...526A..34M,arxiv-preprint-figure,,not-needed
hr-4796a,hr-4796a_nici2014-j,images/hr-4796a/hr-4796a_nici2014-j.png,Wahhaj,2014,"A&A 567, A34 (2014)",EDP Sciences,hybrid,1404.6525,2014A&A...567A..34W,arxiv-preprint-figure,,not-needed
hr-4796a,hr-4796a_nici2014-ks,images/hr-4796a/hr-4796a_nici2014-ks.png,Wahhaj,2014,"A&A 567, A34 (2014)",EDP Sciences,hybrid,1404.6525,2014A&A...567A..34W,arxiv-preprint-figure,,not-needed
hr-4796a,hr-4796a_clio-rodigas2015,images/hr-4796a/hr-4796a_clio-rodigas2015.png,Rodigas,2015,"ApJ 798, 96",AAS/IOP,green-oa,1410.7753,2015ApJ...798...96R,arxiv-preprint-figure,,not-needed
hr-4796a,hr-4796a_visao-rodigas2015,images/hr-4796a/hr-4796a_visao-rodigas2015.png,Rodigas,2015,"ApJ 798, 96",AAS/IOP,green-oa,1410.7753,2015ApJ...798...96R,arxiv-preprint-figure,,not-needed
hr-5999,hr-5999_amber2011,images/hr-5999/hr-5999_amber2011.png,Benisty,2011,A&A,EDP Sciences,hybrid,1106.4150,2011A&A...531A..84B,arxiv-preprint-figure,,not-needed
hr-7012,hr-7012_gpies-debris,images/hr-7012/hr-7012_gpies-debris.png,Esposito,2020,"AJ 160, 24",AAS/IOP,green-oa,2004.13722,2020AJ....160...24E,arxiv-preprint-figure,,not-needed
hr-7012,hr-7012_sphere-debris-2025,images/hr-7012/hr-7012_sphere-debris-2025.png,Engler,2025,"A&A 704, A21",EDP Sciences,hybrid,2512.03128,2025A&A...704A..21E,arxiv-preprint-figure,,not-needed
hr-7012,hr-7012_alma2025,images/hr-7012/hr-7012_alma2025.png,Roumeliotis,2025,"A&A (2026, in press)",EDP Sciences,hybrid,2512.04154,2026A&A...706A...4R,arxiv-preprint-figure,,not-needed
hr-8799,hr-8799_reasons,images/hr-8799/hr-8799_reasons.png,Matra,2025,"A&A 693, A151",EDP Sciences,hybrid,2501.09058,2025A&A...693A.151M,arxiv-preprint-figure,,not-needed
hr-8799,hr-8799_alma2016,images/hr-8799/hr-8799_alma2016.png,Booth,2016,"MNRAS 460, L10",OUP,hybrid,1603.04853,2016MNRAS.460L..10B,arxiv-preprint-figure,,not-needed
hr-8799,hr-8799_keck2008,images/hr-8799/hr-8799_keck2008.png,Marois,2008,"Science 322, 1348",AAAS,restrictive,0811.2606,2008Sci...322.1348M,arxiv-preprint-figure,Y,not-needed
hr-8799,hr-8799_keck2010,images/hr-8799/hr-8799_keck2010.png,Marois,2010,"Nature 468, 1080",Springer Nature,restrictive,1011.4918,2010Natur.468.1080M,arxiv-preprint-figure,Y,not-needed
hr-8799,hr-8799_arks,images/hr-8799/hr-8799_arks.png,Marino,2026,A&A,EDP Sciences,hybrid,2601.11708,2026A&A...705A.195M,arxiv-preprint-figure,,not-needed
hr-8799,hr-8799_sphere-debris-2025,images/hr-8799/hr-8799_sphere-debris-2025.png,Engler,2025,"A&A 704, A21",EDP Sciences,hybrid,2512.03128,2025A&A...704A..21E,arxiv-preprint-figure,,not-needed
hr-8799,hr-8799_gravity2019,images/hr-8799/hr-8799_gravity2019.png,GRAVITY Collaboration,2019,"A&A 623, L11",EDP Sciences,hybrid,1903.11903,2019A&A...623L..11G,arxiv-preprint-figure,,not-needed
hr-8799,hr-8799_jwst2025,images/hr-8799/hr-8799_jwst2025.png,Balmer,2025,"AJ 169, 209",AAS/IOP,green-oa,2503.13608,2025AJ....169..209B,arxiv-preprint-figure,,not-needed
hr-8799,hr-8799_miri2024-f1065c,images/hr-8799/hr-8799_miri2024-f1065c.png,Boccaletti,2024,A&A (2024),EDP Sciences,hybrid,2310.13414,2024A&A...686A..33B,arxiv-preprint-figure,,not-needed
hr-8799,hr-8799_miri2024-f1140c,images/hr-8799/hr-8799_miri2024-f1140c.png,Boccaletti,2024,A&A (2024),EDP Sciences,hybrid,2310.13414,2024A&A...686A..33B,arxiv-preprint-figure,,not-needed
hr-8799,hr-8799_miri2024-f1550c,images/hr-8799/hr-8799_miri2024-f1550c.png,Boccaletti,2024,A&A (2024),EDP Sciences,hybrid,2310.13414,2024A&A...686A..33B,arxiv-preprint-figure,,not-needed
hr-8799,hr-8799_miri2024-f2100w,images/hr-8799/hr-8799_miri2024-f2100w.png,Boccaletti,2024,A&A (2024),EDP Sciences,hybrid,2310.13414,2024A&A...686A..33B,arxiv-preprint-figure,,not-needed
hr-8799,hr-8799_alice-f160w,images/hr-8799/hr-8799_alice-f160w.png,Hagan,2018,"AJ 155, 179",AAS/IOP,green-oa,1802.07754,2018AJ....155..179H,archive-product,,not-needed
hr-8799,hr-8799_lbti2015,images/hr-8799/hr-8799_lbti2015.png,Maire,2015,Astronomy & Astrophysics,EDP Sciences,hybrid,1412.6989,2015A&A...576A.133M,arxiv-preprint-figure,,not-needed
hr-8799,hr-8799_charis2022,images/hr-8799/hr-8799_charis2022.png,Wang,2022,"AJ 164, 143 (2022)",AAS/IOP,green-oa,2208.05594,2022AJ....164..143W,arxiv-preprint-figure,,not-needed
